"target_name" "canonical_smiles" "ecfp" "measurement_value" "new_measurement_value" "measurement_type" "ligand_eff"
"Cyclin-dependent kinase 2" "CN1CCN(CC1)c2cccc(Nc3ncc4CCc5c(nn(C)c5c4n3)C(=O)N)c2" "1000000000010010000100000000000000000000000000100000000000000000010000000000000000000000000000000000100000000010000000000000000000000100000010000000000000000000000000000000001000100100000000000000000000000000000000000000000000000000000000001010000000010000000000100000001000000000000001001000000000000000000001100000000000000000000000000010110000000000000000001000000000000000000010000000000010000000000010000000000000000000000000010000000001000100001000000001100000000000000000101000001000000001000000010011000000110000000100000110000000010000000001000000100000000000000000000001001000000000000000000010000100001000000000000000000000000000001000000000001100000000000000000000000000000100000000000000000000000000000000000000001010000000000000000000000000010000001000000000000000001000000000010010000000000000000000000000000100000000000000001000100000000100000010000000000001000000000000000000000000000000000000000000000000000000001000000000001000010000000000000000000110000000001000000000000000001000000000000000000001000100" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.40"
"Cyclin-dependent kinase 2" "NCCCn1nc(C(=O)N)c2CCc3cnc(Nc4ccccc4)nc3c12" "1000000000000010000100000000000000010000000000000000000000000000011000000000100000000000000000010000000000100000000000000000000000000100001010001000000010000000000000000000000000100000000000000000000000000010000000000000000000000000000000001000000000010000000000000000001000000000000001001000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000010000000000010000000000010000000000000001000000000010001000001000000001000000011100000000000000000001000001000000100000000000011000000110000000100000110000000000000000001000000000000000000000000000001000000000001000000000000000100001000000000000000000000000000000000000000001100000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000100000000000010001000000000000000000000000000000010000000000000100000000000000001000000000000100000010000100000001000000000000000000000000000010001000001000000000000000000000000000000000000000000000000000000111100000001000000000000000000000001000000000000001000100" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.46"
"Cyclin-dependent kinase 2" "CN(C)CC(O)COc1ccc(Nc2nccc(n2)c3c(C)nc4ccccn34)cc1" "0000000000000000000000000000000000010000000010000010000000000000000000000000000000000000010000000000000000000000000000000000000000000101000100010000000010000100000000000000000000000000000000000000000000000110000001000001000000000000100000001000000000000000000100000010000000010000000000000001000000000000000010000000000000000000000000000000000000100000100000001000000000000000000000000000010000000000000010000000000000000000001000000000000000000000001111001000000100000001000000100000100000000000000000000000000000010000000100000110000000000001000001000000000000000000000000100001000010000000001000100000000001001010100000000100000000000000000000000000000010001000000001000010000000000000000000001000000001000000000000000000000100100000101000010000000000000000000010000000000000100000000000000000100100001000000100000000000100010000000000000000001000000000000000000000000000000000000000000000000000100000100000001010000000000000000000010000001000010000000000000000000110100000000001000000000000000000000000010000000000000000" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.40"
"Cyclin-dependent kinase 2" "NS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1" "0000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000100000100000000000100000000010001000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000010001000010000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000001110000000010100000000000000000000000000000000000000000001110100000000100001000000000101000100000000000000010000001000000010000000100000111000000000000000001000000010000000000000000000101000010001000000000100000000001001000100000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000100000010000000000000000000010000000000000000000000000000000100000000000000001000000000110000000000000000000000000000000000000000000000001000000000001000000100100100000001001000000000000000000000000010000000000000000000000000000000100100000000000000000000000000000000000000000100000000000" "1.000000000000000000000000000000" "1.000000000000000000000000000000" "IC50" "0.47"
"Cyclin-dependent kinase 2" "Nc1nc(Nc2ccc(cc2)S(=O)(=O)N)nc(OCC3CCCCC3)c1N=O" "0000000000000010000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000101000000000100000010000001000000000001000000000000001000000000000000000000010100000000000000000000000110000000000000000000001000000000001000000000000000001000000000001000000000000010000000000000000000000000000000100000100000010000010000000000000000000000000000000000000010100000000000000000000000000000000000000000001000000000000010000000100000101000000001000000000000000001000000010000000000000111000000000000000001000010010010000000000000000001000001000000000000010000000000001000000100000000000000000000000000010000001000000000000000000000010000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000001000000000000000100010000000100000000000000000000000110000000000000000010000000000000000000000000000001000001000000100001100100000010000000000000000000000000000000100000000000000000000000000000000100100000000000000000000000000000000000000000000000000000" "1.100000000000000000000000000000" "1.100000000000000000000000000000" "IC50" "0.44"
"Cyclin-dependent kinase 2" "CC(C)Cc1cccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c12" "0000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000101000010000000000000000001000000000000000000000000000000000010000000000000000000000001000100010000100000000000001000000000000000100000000000000100000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000101000001000100000000000000101000100010000000000000101000000000000000001000000010001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000001000000010000000000000000100000000000000010000000000000000000000000000000000000000000001000010001000000100001000000100000000000000010000001000000000000000010000000100000000100000001000000010000000000100000000000000000000000000000100000000000000000000010011000110000010000000100000000000000000000100000000000000000000000000000000000" "1.200000000000000000000000000000" "1.200000000000000000000000000000" "IC50" "0.47"
"Cyclin-dependent kinase 2" "CC(=Cc1cccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c12)C" "0000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000101000000000101000000000000000000100001000000000000000000000000000000000000000000000000000000000001000100010000100000010000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000101000001000100000000000000101000100010000000000000101000000000100000001000000010000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000110000000000001000000100000000100000100010000000000000000000000000000000010000000000000100000000000010100000000000000001000010000000000100000000000000000000000000010000001000100000000000001000010000000000100000001000000000000000000100000000100000000000000000000100000000000000000000000011000100000010000000100000000000000000000000000000000000000000000000000000000" "1.500000000000000000000000000000" "1.500000000000000000000000000000" "IC50" "0.46"
"Cyclin-dependent kinase 2" "NS(=O)(=O)c1ccc(N\C=C\2/C(=O)Nc3ccc4ncccc4c23)cc1" "0000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000101000000000101000000000000000000000001000000000000000000000000000000000000100000000000000000000000010100000000100000000000010000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000100000010100001000000000010000000000000000100000000000000000000001000000000000000101010001100100100000000000101000000010000110001000101000000000000000001000001010000000000000100000001010010000000000000000000100000000001000000000000000000000000000000000000000000000100000000000000000000100000000000001001000000010000000000000000100000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000010000000000000000100000001000000000000000000000001000000011000001000100000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000" "1.500000000000000000000000000000" "1.500000000000000000000000000000" "IC50" "0.46"
"Cyclin-dependent kinase 2" "NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc4ncccc4c23)cc1" "0000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000101000000000101000000000000000000000001000000000000000000000000000000000000000000000000000000000001000100010000101000000000011000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000010100001000000000000000000000000000000000000000000000000001000000000000000101010001000100100000000000101010100010000110000000101000000000000000001000000010000000000000000000001010010000000000000000000100000000001000000000000000000000000000000000000000000000100000000000000000000100000000000010001000000000000000000000000100000000010100000000000000000000000000000000000000001000000000000000000100000000000000000000000000010000001000000000000000000000000000000000100000001000000000000000000100000000000000000000000000000100000000000000000000000001000100000010000000100100000000000000000000000000000000000000000000000000000" "1.600000000000000000000000000000" "1.600000000000000000000000000000" "IC50" "0.46"
"Cyclin-dependent kinase 2" "COc1cccc(OC)c1CNC(=O)c2ccc3NC(=O)\C(=N/Nc4ccc(cc4)S(=O)(=O)N)\c3c2" "0001000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000100000000101000000000100000010000000000010000111010000000000000000000000010000001010000000000000000000000001000100010000100001000000001000000000010000000000000000000000000000000000000000000000000000000000000000000100000000100000001000000000000010000100000000000000000000000000000000110000000000000000000000000000000000001000000000000100000000000000000000101000001000100010000000000101000100110000010000000101000000000000000011000000010000000000000000000000011000000000000000000000010000000000000000000000000000100000000010000000010000000100000000000000000000100000000000000000000010000000000000000000001000010010000010000100000001000000000000000000000001001000000000000000100000000000000000000000000010000001000000000000000000000000000001010100000001000000000000000000100010000100000000000000000000000000000000000000000000011000000000010000100100000000000000000000000000000000000000000000000000000000" "1.700000000000000000000000000000" "1.700000000000000000000000000000" "IC50" "0.33"
